Date,Mnth,Species,Name,Mass,Age,Sex,Head,Tail,Tarsus,Culmen,Brood,Moult,Moult_Tail,Wriggle,Shedding,Bite,Alarm,Tonic.test
2011-07-27,7,799,Cape Weaver,NA,4,1,45.7,,28.5,23.4,NA,0,0,NA,NA,NA,,NA
2011-07-29,7,581,Cape Robin-Chat,NA,4,0,38.6,,30.3,13.1,0,0,0,NA,NA,NA,,NA
2011-07-29,7,581,Cape Robin-Chat,NA,4,0,38.9,,31.2,15.1,,0,0,NA,NA,NA,,NA
2011-07-29,7,749,Cape Sugarbird,NA,4,2,58.1,,21.7,29.6,0,0,0,NA,NA,NA,,NA
2011-07-29,7,581,Cape Robin-Chat,NA,4,0,38.9,,29.3,14.3,0,0,0,NA,NA,NA,,NA
2011-07-29,7,581,Cape Robin-Chat,NA,4,0,39.1,,28.7,12.8,0,0,0,NA,NA,NA,,NA
2011-07-30,7,749,Cape Sugarbird,NA,4,1,62.7,,24.0,32.6,,5430000000,0,NA,NA,NA,,NA
2011-07-30,7,863,Brimstone (Bully) Canary,NA,4,1,31.9,,18.6,11.8,,0,0,NA,NA,NA,,NA
2011-07-30,7,749,Cape Sugarbird,NA,4,2,56.3,,22.0,31.0,,0,0,NA,NA,NA,,NA
2011-07-30,7,873,Cape Bunting,NA,4,0,30.2,,20.2,10.8,,0,0,NA,NA,NA,,NA
2011-07-30,7,637,Neddicky (Piping Cisticola),NA,4,0,27.8,,28.5,9.4,,0,0,NA,NA,NA,,NA
2011-07-30,7,863,Brimstone (Bully) Canary,NA,4,1,32.4,,18.8,13.6,,0,0,NA,NA,NA,,NA
2011-07-30,7,751,Malachite Sunbird,NA,4,1,51.7,,17.1,33.3,,0,0,NA,NA,NA,,NA
2011-08-01,8,873,Cape Bunting,NA,4,0,29.8,,19.4,9.5,,0,0,NA,NA,NA,,NA
2011-08-01,8,559,Cape Rock-Thrush,NA,3,4,54.1,,29.6,21.3,,0,0,NA,NA,NA,,NA
2011-08-01,8,753,Orange-breasted Sunbird,NA,4,2,NA,,,,,NA,NA,NA,NA,NA,,NA
2011-08-01,8,621,Long-billed (Cape) Crombec,NA,4,0,NA,,,,,NA,NA,NA,NA,NA,,NA
2011-08-01,8,621,Long-billed (Cape) Crombec,NA,4,0,NA,,,,,NA,NA,NA,NA,NA,,NA
2011-08-01,8,749,Cape Sugarbird,NA,4,2,NA,,,,,NA,NA,NA,NA,NA,,NA
2011-08-01,8,749,Cape Sugarbird,NA,4,2,NA,,,,,NA,NA,NA,NA,NA,,NA
2011-08-01,8,749,Cape Sugarbird,NA,4,2,NA,,,,,NA,NA,NA,NA,NA,,NA
2011-08-01,8,749,Cape Sugarbird,NA,4,2,NA,,,,,NA,NA,NA,NA,NA,,NA
2011-08-01,8,749,Cape Sugarbird,NA,4,2,NA,,,,,NA,NA,NA,NA,NA,,NA
2011-08-01,8,749,Cape Sugarbird,NA,4,2,NA,,,,,NA,NA,NA,NA,NA,,NA
2011-08-01,8,749,Cape Sugarbird,NA,4,2,NA,,,,,NA,NA,NA,NA,NA,,NA
2011-08-01,8,749,Cape Sugarbird,NA,4,2,NA,,,,,NA,NA,NA,NA,NA,,NA
2011-08-01,8,749,Cape Sugarbird,NA,4,2,NA,,,,,NA,NA,NA,NA,NA,,NA
2011-08-01,8,749,Cape Sugarbird,NA,4,2,NA,,,,,NA,NA,NA,NA,NA,,NA
2011-08-01,8,749,Cape Sugarbird,NA,4,2,NA,,,,,NA,NA,NA,NA,NA,,NA
2011-08-01,8,749,Cape Sugarbird,NA,4,2,NA,,,,,NA,NA,NA,NA,NA,,NA
2011-08-01,8,749,Cape Sugarbird,NA,4,2,NA,,,,,NA,NA,NA,NA,NA,,NA
2011-08-01,8,749,Cape Sugarbird,NA,4,2,NA,,,,,NA,NA,NA,NA,NA,,NA
2011-08-01,8,749,Cape Sugarbird,NA,4,1,NA,,,,,NA,NA,NA,NA,NA,,NA
2011-08-01,8,749,Cape Sugarbird,NA,3,0,NA,,,,,NA,NA,NA,NA,NA,,NA
2011-08-01,8,749,Cape Sugarbird,NA,3,0,NA,,,,,NA,NA,NA,NA,NA,,NA
2011-08-01,8,749,Cape Sugarbird,NA,4,1,NA,,,,,NA,NA,NA,NA,NA,,NA
2011-08-01,8,749,Cape Sugarbird,NA,4,1,NA,,,,,NA,NA,NA,NA,NA,,NA
2011-08-01,8,749,Cape Sugarbird,NA,4,1,NA,,,,,NA,NA,NA,NA,NA,,NA
2011-08-01,8,749,Cape Sugarbird,NA,4,1,NA,,,,,NA,NA,NA,NA,NA,,NA
2011-08-01,8,749,Cape Sugarbird,NA,3,0,NA,,,,,NA,NA,NA,NA,NA,,NA
2011-08-01,8,749,Cape Sugarbird,NA,4,1,NA,,,,,NA,NA,NA,NA,NA,,NA
2011-08-01,8,749,Cape Sugarbird,NA,4,1,NA,,,,,NA,NA,NA,NA,NA,,NA
2011-08-01,8,749,Cape Sugarbird,NA,4,1,NA,,,,,NA,NA,NA,NA,NA,,NA
2011-08-03,8,707,Common Fiscal,NA,4,2,43.9,,27.3,16.4,0,0,0,NA,NA,NA,,NA
2011-08-03,8,707,Common Fiscal,NA,4,1,44.4,,25.8,20.7,0,5555555555,0,NA,NA,NA,,NA
2011-08-03,8,749,Cape Sugarbird,NA,4,2,56.4,,22.3,29.6,0,0,0,NA,NA,NA,,NA
2011-08-03,8,799,Cape Weaver,NA,4,1,44,,26.8,21.5,,0,0,NA,NA,NA,,NA
2011-08-03,8,803,Southern Masked-Weaver,NA,4,1,37.3,,25.9,17.4,,0,0,NA,NA,NA,,NA
2011-08-04,8,749,Cape Sugarbird,NA,3,4,56.7,,21.8,29.3,,0,0,NA,NA,NA,,NA
2011-08-04,8,749,Cape Sugarbird,NA,3,4,57.7,,21.9,30.2,,0,0,NA,NA,NA,,NA
2011-08-04,8,749,Cape Sugarbird,NA,3,4,56.3,,23.1,28.3,,0,0,NA,NA,NA,,NA
2011-08-04,8,749,Cape Sugarbird,NA,3,0,60.4,,22.7,31.1,,0,0,NA,NA,NA,,NA
2011-08-04,8,749,Cape Sugarbird,NA,3,0,62,,24.5,32.2,,0,0,NA,NA,NA,,NA
2011-08-04,8,749,Cape Sugarbird,NA,4,2,59.6,,24.5,30.4,,0,0,NA,NA,NA,,NA
2011-08-04,8,753,Orange-breasted Sunbird,NA,3,0,36.4,,15.4,20.6,,0,0,NA,NA,NA,,NA
2011-08-04,8,749,Cape Sugarbird,NA,4,2,59.7,,22.2,30.8,,0,0,NA,NA,NA,,NA
2011-08-04,8,749,Cape Sugarbird,NA,3,0,60.6,,23.0,30.9,,0,0,NA,NA,NA,,NA
2011-08-04,8,749,Cape Sugarbird,NA,4,1,59.2,,22.3,30.6,,0,1,NA,NA,NA,,NA
2011-08-04,8,722,Bokmakierie,NA,4,0,51.9,,34.4,22.6,,0,0,NA,NA,NA,,NA
2011-08-04,8,760,Southern Double-collared Sunbird,NA,4,2,32.7,,17.9,18.1,,0,0,NA,NA,NA,,NA
2011-08-04,8,749,Cape Sugarbird,NA,4,1,60.2,,24.3,31.6,,4330000000,1,NA,NA,NA,,NA
2011-08-07,8,799,Cape Weaver,40.5,4,2,42.7,,23.4,22.1,,0,0,NA,NA,NA,,NA
2011-08-07,8,799,Cape Weaver,38.1,4,2,40.5,,23.1,19.9,,0,0,NA,NA,NA,,NA
