number,English,Latin,Afrikaans,Bex_filter
1,Common Ostrich,Struthio camelus,Volstruis,
2,African (Jackass) Penguin,Spheniscus demersus,Brilpikkewyn,
3,Rockhopper Penguin,Eudyptes chrysocome,Geelkuifpikkewyn,
4,Great Crested Grebe,Podiceps cristatus,Kuifkopdobbertjie,
5,Black-necked Grebe,Podiceps nigricollis,Swartnekdobbertjie   ,
6,Little Grebe (Dabchick),Tachybaptus ruficollis,Kleindobbertjie,
7,Wandering Albatross (pre-split),Diomedea exulans,Grootmalmok,
8,Black-browed Albatross (Mollymawk),Thalassarche melanophris,Swartrugalbatros,
9,Grey-headed Albatross (Mollymawk),Thalassarche chrysostoma,Gryskopalbatros,
10,Yellow-nosed Albatross (pre-split),Diomedea chlororhynchos,Geelneusmalmok,
11,Shy Albatross (pre-split),Diomedia cauta,Bloubekmalmok,
12,Sooty Albatross (Mollymawk),Phoebetria fusca,Bruinalbatros,
13,Southern Giant-Petrel,Macronectes giganteus,Reusenellie,
14,Pintado (Cape) Petrel,Daption capense,Seeduifstormvoï¿½l,
15,Southern (Antarctic) Fulmar,Fulmarus glacialoides,Silwerstormvoï¿½l,
16,Great-winged Petrel,Pterodroma macroptera,Langvlerkstormvoï¿½l,
18,Atlantic Petrel,Pterodroma incerta,Atlantiese Stormvoël,
19,Soft-plumaged Petrel,Pterodroma mollis,Donsveerstormvoï¿½l,
20,Blue Petrel,Halobaena caerulea,Bloustormvoï¿½l,
21,Broad-billed Prion,Pachyptila vittata,Breï¿½bekwalvisvoï¿½l,
22,Antarctic Prion,Pachyptila desolata,Antarktiese Walvisvoel,
23,Whitechinned Petrel (pre-split),Procellaria aequinoctialis,Bassiaan,
24,Grey Petrel,Procellaria cinerea,Pediunker,
25,Great Shearwater,Puffinus gravis,Grootpylstormvoï¿½l,
26,Cory's Shearwater,Calonectris diomedea,Geelbekpylstormvoï¿½l,
27,Little Shearwater,Puffinus assimilis,Kleinpylstormvoï¿½l,
28,Tropical (Audubon's) Shearwater,Puffinus lherminieri,Tropiese Kleinpylstormvoï¿½l,
29,Sooty Shearwater,Puffinus griseus,Malbaartjie,
30,European Storm-Petrel,Hydrobates pelagicus,Europese Stormswael,
31,Leach's Storm-Petrel,Oceanodroma leucorhoa,Swaelstertstormswael,
32,SNARES CRESTED PENGUIN,Eudyptes robustus,,
33,Wilson's Storm-Petrel,Oceanites oceanicus,Gewone Stormswael,
34,White-faced Storm-Petrel,Pelagodroma marina,Witwangstormswael,
35,Grey-backed Storm-Petrel,Garrodia nereis,,
36,Black-bellied Storm-Petrel,Fregetta tropica,Swartpensstormswael,
37,White-bellied Storm-Petrel,Fregetta grallaria,Witpensstormswael,
38,Common Diving-Petrel,Pelecanoides urinatrix,,
39,Red-tailed Tropicbird,Phaethon rubricauda,Rooipylstert,
40,White-tailed Tropicbird,Phaethon lepturus,Witpylstert,
41,Pink-backed Pelican,Pelecanus rufescens,Kleinpelikaan,
42,Great White Pelican,Pelecanus onocrotalus,Witpelikaan,
43,Australian Gannet,Morus serrator,Australiese Malgas,
44,Cape Gannet,Morus capensis,Witmalgas,
45,Masked Booby,Sula dactylatra,Brilmalgas,
46,Brown Booby,Sula leucogaster,Bruinmalgas,
47,White-breasted (Great) Cormorant,Phalacrocorax lucidus,Witborsduiker,
48,Cape Cormorant,Phalacrocorax capensis,Trekduiker,
49,Bank Cormorant,Phalacrocorax neglectus,Bankduiker,
50,Reed (Long-tailed) Cormorant,Phalacrocorax africanus,Rietduiker,
51,Crowned Cormorant,Phalacrocorax coronatus,Kuifkopduiker,
52,African Darter,Anhinga rufa,Slanghalsvoï¿½l,
53,Great Frigatebird,Fregata minor,Grootfregatvoel,
54,Grey Heron,Ardea cinerea,Bloureier,
55,Black-headed Heron,Ardea melanocephala,Swartkopreier,
56,Goliath Heron,Ardea goliath,Reusereier,
57,Purple Heron,Ardea purpurea,Rooireier,
58,Great Egret,Egretta alba,Grootwitreier,
59,Little Egret,Egretta garzetta,Kleinwitreier,
60,Yellow-billed (Intermediate) Egret,Egretta intermedia,Geelbekwitreier,
61,Cattle Egret,Bubulcus ibis,Veereier,
62,Squacco  Heron,Ardeola ralloides,Ralreier,
63,Green-backed (Striated) Heron,Butorides striatus,Groenrugreier,
64,Black Heron,Egretta ardesiaca,Swartreier,
65,Rufous-bellied Heron,Ardeola rufiventris,Rooipensreier,
66,Dwarf Bittern,Ixobrychus sturmii,Dwergrietreier,
67,Little Bittern,Ixobrychus minutus,Kleinrietreier (Woudapie),
68,Yellow-eyed Penguin,Megadyptes antipodes,,
69,Black-crowned Night-Heron,Nycticorax nycticorax,Gewone Nagreier,
70,White-backed Night-Heron,Gorsachius leuconotus,Witrugnagreier,
71,Eurasian (Great) Bittern,Botaurus stellaris,Grootrietreier (Roerdomp),
72,Hamerkop,Scopus umbretta,Hamerkop,
73,Marabou Stork,Leptoptilos crumeniferus,Maraboe,
74,African (Openbilled) Openbill (Stork),Anastomus lamelligerus,Oopbekooievaar,
75,Saddle-billed Stork,Ephippiorhynchus senegalensis,Saalbekooievaar,
76,Yellow-billed Stork,Mycteria ibis,Nimmersat,
77,Woolly-necked Stork,Ciconia episcopus,Wolnekooievaar,
78,Abdim's Stork,Ciconia abdimii,Kleinswartooievaar,
79,Black Stork,Ciconia nigra,Grootswartooievaar,
80,White Stork,Ciconia ciconia,Witooievaar,
81,African Sacred (Sacred) Ibis,Threskiornis aethiopicus,Skoorsteenveï¿½r,
82,Southern Bald (Bald) Ibis,Geronticus calvus,Kalkoenibis,
83,Glossy Ibis,Plegadis falcinellus,Glansibis,
84,Hadeda Ibis,Bostrychia hagedash,Hadeda,
85,African Spoonbill,Platalea alba,Lepelaar,
86,Greater Flamingo,Phoenicopterus roseus,Grootflamink,
87,Lesser Flamingo,Phoenicopterus minor,Kleinflamink,
88,Spur-winged Goose,Plectropterus gambensis,Wildemakou,
89,Egyptian Goose,Alopochen aegyptiacus,Kolgans,
90,South African Shelduck,Tadorna cana,Kopereend,
91,Comb (Knob-billed) Duck,Sarkidiornis melanotos,Knobbeleend,
92,African Pygmy-Goose,Nettapus auritus,Dwerggans,
93,Northern Shoveler,Anas clypeata,Europese Slopeend,
94,Cape Shoveler,Anas smithii,Kaapse Slopeend,
95,African Black Duck,Anas sparsa,Swarteend,
96,Yellow-billed Duck,Anas undulata,Geelbekeend,
97,Red-billed Teal (Duck),Anas erythrorhyncha,Rooibekeend,
98,Cape Teal,Anas capensis,Teeleend,
99,Hottentot Teal,Anas hottentota,Gevlekte Eend,
100,White-faced (Whistling-) Duck,Dendrocygna viduata,Nonnetjie-eend,
101,Fulvous (Whistling) Duck,Dendrocygna bicolor,Fluiteend,
102,Southern Pochard,Netta erythrophthalma,Bruineend,
103,Maccoa Duck,Oxyura maccoa,Bloubekeend,
104,White-backed Duck,Thalassornis leuconotus,Witrugeend,
105,Secretarybird,Sagittarius serpentarius,Sekretarisvoï¿½l,
106,Cape Vulture (Griffon),Gyps coprotheres,Kransaasvoï¿½l,
107,White-backed Vulture,Gyps africanus,Witrugaasvoï¿½l,
108,Lappet-faced Vulture,Torgos tracheliotus,Swartaasvoï¿½l,
109,White-headed Vulture,Trigonoceps occipitalis,Witkopaasvoï¿½l,
110,Hooded Vulture,Necrosyrtes monachus,Monnikaasvoï¿½l,
111,Egyptian Vulture,Neophron percnopterus,Egiptiese Aasvoï¿½l,
112,Palm-nut Vulture,Gypohierax angolensis,Witaasvoï¿½l,
113,Peregrine Falcon,Falco peregrinus,Swerfvalk,
114,Lanner Falcon,Falco biarmicus,Edelvalk,
115,Eurasian Hobby,Falco subbuteo,Europese Boomvalk,
116,African Hobby,Falco cuvierii,Afrikaanse Boomvalk,
117,Red-necked Falcon,Falco chicquera,Rooinekvalk,
118,CAMPBELL ISLAND SHAG,Phalacrocorax campbelli campbelli,,
119,Amur (Eastern Red-footed) Falcon (Kestrel),Falco amurensis,Oostelike Rooipootvalk,
120,Red-footed (Western Red-footed) Falcon (Kestrel,Falco vespertinus,Westelike Rooipootvalk,
121,Dickinson's Kestrel,Falco dickinsoni,Dickinsonse Grysvalk,
122,Greater Kestrel,Falco rupicoloides,Grootrooivalk,
123,Rock Kestrel,Falco rupicolus,Kransvalk,
124,MAURITIUS KESTREL,Falco punctatus,,
125,Lesser Kestrel,Falco naumanni,Kleinrooivalk,
126,Pygmy Falcon,Polihierax semitorquatus,Dwergvalk,
127,African Cuckoo Hawk,Aviceda cuculoides,Koekoekvalk,
128,Black Kite,Milvus migrans,Swartwou,
128,Black & Yellowbilled Kite (pre-split),Milvus migrans,Swartwou,
129,Yellow-billed Kite,Milvus aegyptius,Geelbekwou,
130,Black-shouldered (Winged) Kite,Elanus caeruleus,Blouvalk,
131,Bat Hawk,Macheiramphus alcinus,Vlermuisvalk,
132,European Honey-buzzard,Pernis apivorus,Wespedief,
133,Verreaux's (Black) Eagle,Aquila verreauxii,Witkruisarend,
134,Tawny Eagle,Aquila rapax,Roofarend,
135,Steppe Eagle,Aquila nipalensis,Steppe-arend,
136,Lesser Spotted Eagle,Aquila pomarina,Gevlekte Arend,
137,Wahlberg's Eagle,Aquila wahlbergi,Bruinarend,
138,Long-crested Eagle,Lophaetus occipitalis,Langkuifarend,
139,Booted Eagle,Aquila pennatus,Dwergarend,
140,Ayres Hawk-Eagle,Hieraaetus ayresii,Kleinjagarend,
141,African Hawk Eagle,Aquila spilogaster,Grootjagarend,
142,Martial Eagle,Polemaetus bellicosus,Breï¿½koparend,
143,African Crowned (Crowned) Eagle,Stephanoaetus coronatus,Kroonarend,
144,Lizard Buzzard,Kaupifalco monogrammicus,Akkedisvalk,
145,Brown Snake-Eagle,Circaetus cinereus,Bruinslangarend,
146,Black-chested (Breasted) Snake-Eagle,Circaetus [gallicus] pectoralis,Swartborsslangarend,
147,Southern Banded (Fasciated) Snake-Eagle,Circaetus fasciolatus,Dubbelbandslangarend,
148,Western Banded Snake-Eagle,Circaetus cinerascens,Enkelbandslangarend,
149,African Fish-Eagle,Haliaeetus vocifer,Visarend,
150,Bearded Vulture,Gypaetus barbatus,Baardaasvoï¿½l,
151,Bateleur,Terathopius ecaudatus,Berghaan,
152,Jackal Buzzard,Buteo [augur] rufofuscus,Rooiborsjakkalsvoï¿½l,
153,Augur Buzzard,Buteo augur,Witborsjakkalsvoï¿½l,
154,Steppe (Common) Buzzard,Buteo buteo,Bruinjakkalsvoï¿½l,
155,Forest Buzzard,Buteo [oreophilus] trizonatus,Bosjakkalsvoï¿½l,
156,Rufous-chested (Red-breasted) Sparrowhawk,Accipiter rufiventris,Rooiborssperwer,
157,Ovambo Sparrowhawk,Accipiter ovampensis,Ovambosperwer,
158,Little Sparrowhawk,Accipiter minullus,Kleinsperwer,
159,Black Sparrowhawk (Goshawk),Accipiter melanoleucus,Swartsperwer,
160,African Goshawk (incl. Red-chested),Accipiter tachiro,Afrikaanse Sperwer,
161,Shikra (Little Banded Goshawk),Accipiter badius,Gebande Sperwer,
